name,pos,scale,Rotation
GameObject (1),0,0,0,1,1,1,0,0,0
Tx_Box(Clone),0,1,6.5,10,1,5,0,0,0
Goal,0,1,-3,1,1,1,0,0,0
Tx_Box,0,0.568,3.385,10,1,2,5.759586,0,0
Cube,0,2,10.5,10,1,5,0,0,0
Tx_Box(Clone),0,1.568,7.385,10,1,2,5.759586,0,0
Cube,0,1,6.5,10,1,5,0,0,0
Tx_Box(Clone),0,2,10.5,10,1,5,0,0,0
Cube,0,0.568,3.385,10,1,2,5.759586,0,0
Player,0,1,-2,1,1,1,0,0,0
RescurTarget_2,-3,4,11,1,1,1,0,0,0
RescurTarget_1,3,4,11,1,1,1,0,0,0
Cube,0,0,0,10,1,10,0,0,0
Cube,0,1.568,7.385,10,1,2,5.759586,0,0
Tx_Box(Clone),0,0.568,3.385,10,1,2,5.759586,0,0
